season,url
2016/2017,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2016
2015/2016,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2015
2014/2015,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2014
2013/2014,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2013
2012/2013,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2012
2011/2012,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2011
2010/2011,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2010
2009/2010,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2009
2008/2009,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2008
2007/2008,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2007
2006/2007,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2006
2005/2006,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005
2004/2005,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2004
2003/2004,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2003
2002/2003,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2002
2001/2002,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2001
2000/2001,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2000
1999/2000,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1999
1998/1999,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1998
1997/1998,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1997
1996/1997,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1996
1995/1996,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1995
1994/1995,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1994
1993/1994,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1993
1992/1993,http://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=1992
